Problem,Num_Solutions,Novelty,Success_Rate,Num_Evaluated
01_1LDB,1,0.488,1.61,62
02_1ITU,2,0.306,2.27,88
03_2CGA,0,0.000,0.00,61
04_5WN9,2,0.365,8.08,99
05_5ZE9,22,0.387,54.64,97
06_6E6R,56,0.351,63.16,95
07_6E6R,19,0.259,43.16,95
08_7AD5,1,0.38,1.47,68
09_7CG5,34,0.331,55.22,67
10_7WRK,4,0.479,6.78,59
11_3TQB,3,0.415,56.96,79
12_4JHW,2,0.383,4.00,75
13_4JHW,0,0.000,0.00,59
14_5IUS,1,0.253,4.00,25
15_7A8S,3,0.254,40.28,72
16_7BNY,5,0.41,8.54,82
17_7DGW,8,0.271,28.89,90
18_7MQQ,0,0.000,0.00,36
19_7MQQ,1,0.413,2.70,37
20_7UWL,0,0.000,0.00,34
21_1B73,2,0.388,2.04,98
22_1BCF,4,0.193,99.00,100
23_1MPY,3,0.373,3.00,100
24_1QY3,14,0.433,39.80,98
25_2RKX,3,0.293,44.05,84
26_3B5V,0,0.000,0.00,53
27_4XOJ,13,0.292,18.00,100
28_5YUI,12,0.421,16.33,98
29_6CPA,0,0.000,0.00,63
30_7UWL,0,0.000,0.00,18
